                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.4606,                 1.1269,                 1.5123,                0.73473,                0.68177,                0.73865,                0.37072,                 1.7083,                 1.2162,                  1.749,             0.00056128,             0.00056128,             0.00056128
                     70,                 1.4555,                 1.1284,                 1.5086,                 0.7108,                0.69923,                0.72836,                0.36974,                 1.7155,                 1.2214,                 1.7593,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.4592,                   1.12,                  1.508,                0.73725,                 0.6755,                0.72703,                0.36565,                 1.7085,                 1.2198,                 1.7497,             0.00052827,             0.00052827,             0.00052827
                     72,                 1.4466,                 1.1119,                 1.5089,                0.71747,                0.68553,                  0.728,                0.37163,                 1.7156,                 1.2266,                 1.7598,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.4479,                 1.1148,                 1.5075,                0.74491,                0.66293,                0.72038,                0.36138,                 1.7203,                 1.2327,                 1.7589,             0.00049527,             0.00049527,             0.00049527
                     74,                 1.4326,                  1.085,                 1.4987,                0.74041,                 0.6697,                 0.7199,                0.36659,                 1.7257,                 1.2171,                  1.774,             0.00047876,             0.00047876,             0.00047876
                     75,                 1.4308,                 1.0875,                 1.4901,                0.72452,                0.68737,                0.72065,                0.36939,                 1.7219,                 1.2294,                 1.7741,             0.00046226,             0.00046226,             0.00046226
                     76,                 1.4302,                 1.0783,                 1.4858,                0.73769,                0.67841,                0.72527,                  0.374,                 1.7276,                 1.2384,                 1.7772,             0.00044576,             0.00044576,             0.00044576
                     77,                 1.4266,                  1.073,                 1.4851,                0.75764,                0.66617,                  0.729,                0.36772,                 1.7297,                 1.2285,                 1.7715,             0.00042925,             0.00042925,             0.00042925
                     78,                 1.4067,                 1.0559,                 1.4697,                0.76357,                0.66627,                0.72848,                0.36548,                 1.7333,                 1.2174,                 1.7736,             0.00041275,             0.00041275,             0.00041275
                     79,                 1.4118,                 1.0586,                 1.4825,                0.72795,                0.69029,                0.72706,                0.36369,                 1.7477,                 1.2236,                 1.7891,             0.00039625,             0.00039625,             0.00039625
                     80,                 1.4092,                 1.0552,                 1.4811,                0.76122,                 0.6541,                0.72184,                0.36271,                 1.7408,                 1.2395,                 1.7887,             0.00037974,             0.00037974,             0.00037974
                     81,                 1.4053,                 1.0355,                 1.4605,                0.75899,                0.67952,                0.72934,                 0.3642,                 1.7448,                 1.2247,                 1.7896,             0.00036324,             0.00036324,             0.00036324
                     82,                 1.3932,                 1.0403,                 1.4634,                0.73891,                0.69128,                0.72741,                0.36599,                 1.7401,                 1.2142,                 1.7827,             0.00034674,             0.00034674,             0.00034674
                     83,                 1.3813,                 1.0285,                  1.457,                 0.7298,                0.70036,                0.73099,                0.36594,                 1.7373,                 1.2079,                 1.7898,             0.00033023,             0.00033023,             0.00033023
                     84,                 1.3856,                 1.0312,                 1.4618,                0.76515,                0.67472,                0.73363,                0.36794,                 1.7362,                 1.2122,                 1.7853,             0.00031373,             0.00031373,             0.00031373
                     85,                 1.3751,                 1.0224,                 1.4478,                0.72322,                 0.6714,                0.71226,                0.36413,                 1.7447,                 1.2157,                 1.7984,             0.00029723,             0.00029723,             0.00029723
                     86,                 1.3658,                  1.014,                 1.4496,                0.71865,                0.68706,                0.71596,                0.36412,                  1.755,                 1.2131,                 1.8086,             0.00028072,             0.00028072,             0.00028072
                     87,                 1.3679,                 1.0079,                 1.4427,                0.70783,                0.69626,                0.72294,                0.36393,                 1.7531,                 1.2168,                 1.8025,             0.00026422,             0.00026422,             0.00026422
                     88,                  1.367,                 1.0096,                 1.4458,                 0.7317,                0.68041,                0.72455,                0.36692,                 1.7457,                 1.2085,                 1.8003,             0.00024772,             0.00024772,             0.00024772
                     89,                 1.3668,                 1.0023,                 1.4454,                0.73213,                0.67835,                0.72305,                0.36919,                  1.749,                 1.2094,                 1.7997,             0.00023121,             0.00023121,             0.00023121
                     90,                 1.3618,                 0.9851,                 1.4325,                 0.7221,                0.69549,                0.72503,                 0.3704,                 1.7514,                 1.2132,                 1.8024,             0.00021471,             0.00021471,             0.00021471
                     91,                 1.3879,                0.91496,                 1.4957,                0.72269,                0.69353,                0.72689,                0.36901,                 1.7519,                 1.2176,                 1.7982,             0.00019821,             0.00019821,             0.00019821
                     92,                 1.3529,                  0.889,                  1.472,                0.70861,                0.70925,                0.72813,                0.37236,                 1.7555,                 1.2277,                 1.8026,              0.0001817,              0.0001817,              0.0001817
                     93,                 1.3416,                0.88293,                 1.4677,                0.71791,                0.69608,                  0.727,                0.37111,                 1.7626,                 1.2323,                 1.8178,              0.0001652,              0.0001652,              0.0001652
                     94,                 1.3422,                0.87431,                 1.4668,                0.71281,                0.70776,                0.72535,                 0.3704,                 1.7618,                 1.2327,                 1.8178,              0.0001487,              0.0001487,              0.0001487
                     95,                 1.3287,                0.85642,                 1.4578,                0.71736,                0.70196,                0.72462,                 0.3714,                 1.7627,                 1.2249,                 1.8244,             0.00013219,             0.00013219,             0.00013219
                     96,                 1.3248,                0.85676,                 1.4545,                0.73699,                 0.6847,                0.72677,                0.37535,                 1.7598,                 1.2224,                 1.8214,             0.00011569,             0.00011569,             0.00011569
                     97,                 1.3168,                0.84919,                 1.4435,                0.72495,                0.69885,                0.72411,                0.37213,                 1.7614,                 1.2287,                 1.8221,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 1.3039,                0.83856,                 1.4316,                0.73512,                0.69304,                0.72494,                0.37257,                 1.7619,                 1.2327,                 1.8271,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                 1.3022,                0.83633,                 1.4421,                0.73151,                0.69344,                0.72467,                0.37126,                 1.7668,                 1.2293,                 1.8383,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                 1.2968,                0.82984,                 1.4399,                0.72864,                0.69273,                0.72421,                0.37014,                 1.7678,                 1.2298,                 1.8407,             4.9677e-05,             4.9677e-05,             4.9677e-05
